kernel,verdict,misses_base,misses_after
2mm,REJECT,1912240,1912240
3mm,REJECT,2988525,2988525
adi,REJECT,10007671,10007671
atax,REJECT,40866,40866
bicg,REJECT,40584,40584
cholesky,REJECT,1758226,1758226
correlation,TILE,14506480,14502176
covariance,TILE,14491600,14487099
deriche,REJECT,1899712,1899712
doitgen,REJECT,32976,32976
durbin,REJECT,300,300
fdtd-2d,REJECT,8388200,8388200
floyd-warshall,TILE,15982848,9597173
gemm,REJECT,1373920,1373920
gemver,REJECT,117295,117295
gesummv,REJECT,32192,32192
gramschmidt,REJECT,786110,1529396
heat-3d,REJECT,8892000,8892000
jacobi-1d,REJECT,200,200
jacobi-2d,REJECT,6374400,6374400
ludcmp,REJECT,4463154,4463154
lu,REJECT,4422258,4422258
mvt,REJECT,78583,78583
nussinov,REJECT,1605798,1605798
seidel-2d,TILE,4000000,40000
symm,REJECT,1864272,1864272
syr2k,REJECT,2236957,2243540
syrk,REJECT,731570,736917
trisolv,REJECT,20600,20600
trmm,TILE,610533,617012
