kernel,verdict,misses_base,misses_after
2mm,TILE,2071901600,221704000
3mm,TILE,3377715400,371633200
adi,REJECT,10007671,10007671
atax,REJECT,3806,3806
bicg,REJECT,3844,3844
cholesky,REJECT,1758226,1758226
correlation,TILE,2139517386,2139161267
covariance,TILE,2139306482,2138948706
deriche,REJECT,27586,27586
doitgen,REJECT,4248,4248
durbin,REJECT,90,90
fdtd-2d,REJECT,8388200,8388200
floyd-warshall,TILE,2743983968,1595377121
gemm,TILE,331776000,193680800
gemver,REJECT,7354,7354
gesummv,REJECT,4392,4392
gramschmidt,REJECT,15975,28499
heat-3d,REJECT,8892000,8892000
jacobi-1d,REJECT,60,60
jacobi-2d,REJECT,6374400,6374400
ludcmp,REJECT,4463154,4463154
lu,REJECT,4422258,4422258
mvt,REJECT,5468,5468
nussinov,REJECT,1605798,1605798
seidel-2d,TILE,999250000,1110500
symm,TILE,1864272,1195105
syr2k,TILE,1655759480,1655879352
syrk,TILE,796228019,796370027
trisolv,REJECT,1980,1980
trmm,TILE,1200434681,1200734681
