kernel,tile_size,misses_forced,missesL1_forced,missesL2_forced
adi,32,2256422043,1757215000,499207043
cholesky,32,334587869,167778426,166809443
fdtd-2d,32,1124551000,599700500,524850500
gramschmidt,32,3062489952,2881470293,181019659
heat-3d,32,1263780000,838980000,424800000
jacobi-2d,32,1269770000,846296000,423474000
lu,32,2982274461,2647699348,334575113
ludcmp,32,2985665549,2650587758,335077791
nussinov,32,2682316608,2516824098,165492510
symm,32,1218387669,1210082021,8305648
syr2k,32,1655879352,1475677979,180201373
syrk,32,796370027,706377012,89993015
doitgen,32,68757240,68334020,423220
deriche,32,48660480,40919040,7741440
