kernel,tile_size,misses
covariance,untiled,2139306482
correlation,untiled,2139517386
covariance,16,2138961790
covariance,32,2138955224
correlation,16,2139187416
trmm,untiled,1200434681
correlation,32,2139174234
trmm,16,1200734681
covariance,128,2138951841
correlation,128,2139167404
syrk,untiled,796228019
syrk,16,796370027
syrk,32,796370027
syrk,64,796370027
syrk,128,796370027
syr2k,untiled,1655759480
syr2k,16,1655879352
syr2k,32,1655879352
syr2k,64,1655879352
syr2k,128,1655879352
covariance,64,2138955133
correlation,64,2139174004
trmm,128,1200734681
trmm,64,1200734681
trmm,32,1200734681
