kernel,verdict,misses_base,missesL1_base,missesL2_base,misses_tiled,missesL1_tiled,missesL2_tiled,rationale
2mm,TILE,2071901600,1864050400,207851200,221704000,215166400,6537600,"REJECT reason=no-evicted-reuse footprint=5760000 target=262144|TILE sizes=[50, 100, 110] footprint=262144 target=262144 traffic=306708480|REJECT reason=no-evicted-reuse footprint=7680000 target=262144|TILE sizes=[50, 120, 100] footprint=262144 target=262144 traffic=340787200"
3mm,TILE,3377715400,3038265000,339450400,371633200,361259200,10374000,"REJECT reason=no-evicted-reuse footprint=5760000 target=262144|TILE sizes=[50, 100, 125] footprint=262144 target=262144 traffic=272629760|REJECT reason=no-evicted-reuse footprint=7920000 target=262144|TILE sizes=[60, 110, 120] footprint=262144 target=262144 traffic=442368000|REJECT reason=no-evicted-reuse footprint=7040000 target=262144|TILE sizes=[50, 110, 100] footprint=262144 target=262144 traffic=306708480"
adi,REJECT,2256422043,1757215000,499207043,2256422043,1757215000,499207043,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
atax,REJECT,2499765,1999301,500464,2499765,1999301,500464,"REJECT reason=no-evicted-reuse footprint=16800 target=262144|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
bicg,REJECT,2000829,1500027,500802,2000829,1500027,500802,"REJECT reason=no-evicted-reuse footprint=15200 target=262144|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
cholesky,REJECT,334587826,167778426,166809400,334587826,167778426,166809400,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
correlation,TILE,2139517386,2012820747,126696639,2139161267,2012911782,126249485,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=no-evicted-reuse footprint=13459200 target=262144|REJECT reason=no-evicted-reuse footprint=11500808 target=262144|REJECT reason=no-evicted-reuse footprint=11510400 target=262144|TILE sizes=[109, 64, 100] footprint=262144 target=262144 traffic=684851200|REJECT reason=no-evicted-reuse footprint=23020800 target=262144"
covariance,TILE,2139306482,2012820298,126486184,2138948706,2012910527,126038179,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=no-evicted-reuse footprint=13449600 target=262144|REJECT reason=no-evicted-reuse footprint=11520000 target=262144|TILE sizes=[120, 64, 100] footprint=262144 target=262144 traffic=684851200|REJECT reason=no-evicted-reuse footprint=23040000 target=262144"
deriche,REJECT,48660438,40919038,7741400,48660438,40919038,7741400,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=no-evicted-reuse footprint=106168320 target=262144|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=no-evicted-reuse footprint=106168320 target=262144"
doitgen,REJECT,68757223,68334003,423220,68757240,68334020,423220,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
durbin,REJECT,269381,268631,750,269381,268631,750,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
fdtd-2d,REJECT,1124551000,599700500,524850500,1124551000,599700500,524850500,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
floyd-warshall,TILE,2743983968,1371999650,1371984318,1595377121,1571373675,24003446,"TILE sizes=[112, 112, 112] footprint=196608 target=262144 traffic=2791309312"
gemm,TILE,331776000,165888000,165888000,193680800,190688000,2992800,"REJECT reason=no-evicted-reuse footprint=8800000 target=262144|TILE sizes=[125, 120, 55] footprint=262144 target=262144 traffic=471859200"
gemver,REJECT,8003667,6501499,1502168,8003667,6501499,1502168,"REJECT reason=no-evicted-reuse footprint=32064000 target=262144|REJECT reason=no-evicted-reuse footprint=32032000 target=262144|REJECT reason=no-evicted-reuse footprint=32000 target=262144|REJECT reason=no-evicted-reuse footprint=32032000 target=262144"
gesummv,REJECT,848578,424289,424289,848578,424289,424289,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
gramschmidt,REJECT,2971913015,2881290600,90622415,3062489952,2881470293,181019659,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
heat-3d,REJECT,1263780000,838980000,424800000,1263780000,838980000,424800000,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
jacobi-1d,REJECT,1000,500,500,1000,500,500,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
jacobi-2d,REJECT,1269770000,846296000,423474000,1269770000,846296000,423474000,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
lu,REJECT,2982274463,2647699348,334575115,2982274463,2647699348,334575115,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
ludcmp,REJECT,2985665551,2650587758,335077793,2985665551,2650587758,335077793,"REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)|REJECT reason=out-of-model (non-constant trips, imperfect below band, or non-affine references)"
mvt,REJECT,6001708,5000750,1000958,6001708,5000750,1000958,"REJECT reason=no-evicted-reuse footprint=32032000 target=262144|REJECT reason=no-evicted-reuse footprint=32032000 target=262144"
