kernel,size,note
2mm,L,
3mm,L,
adi,M,never-tiles
atax,S,slack-capacity(fp/target=0.0)
bicg,S,slack-capacity(fp/target=0.0)
cholesky,M,never-tiles
correlation,L,
covariance,L,
deriche,S,slack-capacity(fp/target=1.1)
doitgen,S,never-tiles
durbin,S,never-tiles
fdtd-2d,M,never-tiles
floyd-warshall,L,
gemm,L,
gemver,S,slack-capacity(fp/target=0.5)
gesummv,S,never-tiles
gramschmidt,S,never-tiles
heat-3d,M,never-tiles
jacobi-1d,S,never-tiles
jacobi-2d,M,never-tiles
lu,M,never-tiles
ludcmp,M,never-tiles
mvt,S,slack-capacity(fp/target=0.4)
nussinov,M,never-tiles
seidel-2d,L,
symm,M,never-tiles
syr2k,L,
syrk,L,
trisolv,S,never-tiles
trmm,L,
